RowID,MeanIndProduction,VarIndProduction,ResInflow,MaxGrowthRate,MaxMetMaint,MaxActiveDispersal,StartingSeed,width,height,MeanTotalAbundance,VarTotalAbundance,ImmigrationRate,MeanResourceConcentration,VarResourceConcentration,MeanResourceParticles,VarResourceParticles,MeanPerCapitaGrowth,VarPerCapitaGrowth,MeanPerCapitaMaint,VarPerCapitaMaint,MeanPerCapitaActiveDispersal,VarPerCapitaActiveDispersal,MeanSpecGrowth,VarSpecGrowth,MeanSpecDisp,VarSpecDisp,MeanSpecMaint,VarSpecMaint,MeanAvgDist,VarAvgDist,MeanDormFreq,VarDormFreq,TrophicComplexityLevel,ResourceComplexityLevel,SpatialComplexityLevel,MeanEncounter,VarEncounter,IncomingResAgg,MeanIndAgg,VarIndAgg,MeanResAgg,VarResAgg,MeanDeaths,VarDeaths,RunTime
21, 0.050000000000000003, 1.9475000000000002, 6, 0.1, 0.01, 0.033606368310574106, 10, 9.8, 10, 33.25, 23.487500000000001, 0, 5.9500000000000002, 0.33250000000000002, 595.0, 3325.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048754816270807556, 1.6208462618201963e-07, 0.018421743764680178, 1.1409355238442672e-07, 0.0053377287360569271, 7.7300252140474808e-09, nan, nan, 0.0, 0.0, 1, 2, 2, 12.9, 11.889999999999997, 0.31540170603987033, 4.9484709692407991, 1.3161696552604352, nan, nan, 1.95, 0.84750000000000014, 69
22, -0.65000000000000002, 2.1274999999999999, 10, 0.1, 0.01, 0.0492322752116212, 10, 9.8, 10, 21.350000000000001, 8.8274999999999988, 0, 16.274999999999999, 0.61758500000000027, 1627.5, 6175.8500000000004, 0.00017658618327336966, 1.2533383929411496e-07, 4.8258910562613711e-05, 9.3607345731899084e-09, 0.00018498822992985299, 1.3754445835600924e-07, 0.053549333495446202, 5.1699437815572002e-08, 0.019181076472429337, 4.306451064843008e-09, 0.0062004264792561896, 9.4452104441423615e-10, nan, nan, 0.0, 0.0, 2, 3, 2, 0.050000000000000003, 0.047499999999999987, 0.22014930903731061, 3.72439149793437, 0.34375203319467529, nan, nan, 1.45, 1.5475000000000001, 140
23, -0.14999999999999999, 4.4275000000000011, 2, 0.1, 0.01, 0.0919331299229833, 10, 9.8, 10, 53.399999999999999, 25.739999999999998, 0, 21.372, 3.3152860000000004, 2137.1999999999998, 33152.860000000001, 0.0030825690620848909, 2.0793246337614306e-06, 5.8890523123810207e-05, 7.5890513662437144e-10, 0.00046664536834566692, 4.7650842893949695e-08, 0.057340908901049113, 1.4905474691671878e-07, 0.016961607326335969, 2.6897011993948614e-08, 0.0057965182380698621, 4.9736530406393916e-09, nan, nan, 0.0, 0.0, 2, 1, 2, 26.550000000000001, 24.8475, 0.11602109721602974, 3.2619441951822603, 0.13414079194021761, nan, nan, 2.3500000000000001, 1.6274999999999999, 92
24, -0.69999999999999996, 5.3100000000000005, 1, 0.1, 0.01, 0.02587483743270884, 10, 9.8, 10, 51.100000000000001, 18.390000000000001, 0, 21.332999999999995, 4.0633910000000011, 2133.3000000000002, 40633.909999999996, 0.0097173409116086979, 1.9850100020090624e-05, 0.00019858939988868138, 8.2904851884883748e-09, 0.0040987677292260386, 3.5316238196056458e-06, 0.056826806353408935, 3.7733904970398513e-07, 0.020264770247281898, 2.1672188565396316e-08, 0.005542613331482078, 1.8612382229997147e-09, nan, nan, 0.0, 0.0, 4, 1, 3, 28.449999999999999, 23.947500000000002, 0.14084483876236542, 3.4023211555360269, 0.4269861802826484, nan, nan, 2.7000000000000002, 2.3100000000000001, 85
25, -0.34999999999999998, 2.5275000000000003, 9, 0.1, 0.01, 0.053371916630702065, 10, 9.8, 10, 32.299999999999997, 14.110000000000003, 0, 7.0930000000000009, 0.46982099999999993, 709.29999999999995, 4698.21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.055668606699950496, 1.4097036754214093e-07, 0.017092648463866243, 3.5172387243764574e-08, 0.0059819125361075028, 2.646138815264177e-09, nan, nan, 0.0, 0.0, 3, 1, 3, 17.949999999999999, 14.147499999999999, 0.19258278487617522, 5.5341368709414827, 4.700154756881636, nan, nan, 1.8500000000000001, 1.6274999999999999, 70
26, -2.2999999999999998, 5.0099999999999998, 5, 0.1, 0.01, 0.09583356337667381, 10, 9.8, 10, 79.299999999999997, 66.409999999999997, 0, 27.169, 0.77466899999999994, 2716.9000000000001, 7746.6899999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051599125283518399, 9.8760640646416196e-08, 0.019849331993298424, 5.5529607752564248e-09, 0.0056489249519945635, 6.429336007332594e-10, nan, nan, 0.0, 0.0, 3, 1, 1, 39.299999999999997, 61.210000000000015, 0.19320159598272332, 1.3331313003525789, 0.054544343994985381, nan, nan, 5.2000000000000002, 3.7600000000000002, 214
27, -1.25, 4.2874999999999996, 5, 0.1, 0.01, 0.06716592762615639, 10, 9.8, 10, 39.649999999999999, 6.9275000000000002, 0, 7.1260000000000003, 0.5306139999999997, 712.60000000000002, 5306.1399999999994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.062257779330642457, 7.4282729356491075e-07, 0.019355168558583359, 2.0569286147570208e-08, 0.0049590542067045242, 2.4135921948285119e-09, nan, nan, 0.0, 0.0, 3, 2, 3, 14.550000000000001, 7.4474999999999998, 0.12094002682366817, 3.8616031157887405, 1.2347846174143509, nan, nan, 2.8999999999999999, 3.3899999999999997, 69
28, -0.29999999999999999, 5.4100000000000001, 6, 0.1, 0.01, 0.017332814933026873, 10, 9.8, 10, 38.700000000000003, 14.410000000000002, 0, 15.532499999999999, 1.5147787500000001, 1553.25, 15147.7875, 0.0019369627600130019, 1.3069385550063912e-06, 0.00014253187578649519, 7.0767952284910504e-09, 0.00015728953008809838, 8.618114458470221e-09, 0.056278815578853406, 1.1454709012026913e-07, 0.018056973241213251, 4.4208699546979026e-08, 0.005492825138288201, 8.8841919535263645e-10, nan, nan, 0.0, 0.0, 4, 1, 1, 17.300000000000001, 12.41, 0.2419035712400624, 2.0796435743860378, 0.32972929231739678, nan, nan, 1.8500000000000001, 2.0274999999999999, 76
29, -1.3500000000000001, 4.2275, 9, 0.1, 0.01, 0.03373740298169747, 10, 9.8, 10, 29.649999999999999, 17.427500000000002, 0, 12.358500000000001, 1.3724527500000001, 1235.8499999999999, 13724.527500000002, 0.00079442323257801245, 7.7590786591151153e-07, 9.2159393220406658e-05, 1.0442043428937622e-08, 0.0002587287420596023, 8.2299204187069953e-08, 0.057171195716292922, 2.7987318806901805e-07, 0.020565913458737907, 8.0881093619309014e-08, 0.0057754093644149674, 2.6912486648881051e-09, nan, nan, 0.0, 0.0, 2, 1, 2, 13.1, 13.590000000000003, 0.2919935140495996, 3.7400472416013271, 0.11917137705935572, nan, nan, 2.8500000000000001, 2.4275000000000002, 81
30, -1.1499999999999999, 2.7275, 3, 0.1, 0.01, 0.06206021043524121, 10, 9.8, 10, 25.449999999999999, 6.1475, 0, 11.021000000000001, 0.80567900000000015, 1102.0999999999999, 8056.7899999999991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052959649600272295, 9.6055297577081893e-08, 0.018268066485804188, 5.3489106546166458e-08, 0.0053041180351066138, 5.8834200529963459e-10, nan, nan, 0.0, 0.0, 3, 3, 1, 0.29999999999999999, 0.30999999999999994, 0.041779630823068126, 1.4722312237738735, 0.36565532004365531, nan, nan, 2.2999999999999998, 3.0099999999999998, 86
31, -0.94999999999999996, 1.6475000000000002, 1, 0.1, 0.01, 0.09776240398122987, 10, 9.8, 10, 27.149999999999999, 1.6274999999999999, 0, 9.5510000000000002, 0.8701890000000001, 955.10000000000002, 8701.8900000000012, 0.0043002091173756042, 1.6349921360903169e-06, 0.00013352142681177589, 1.5762984408717755e-09, 0.00039796533953809958, 1.4003191088069034e-08, 0.059785942542810964, 5.6365761957234111e-07, 0.018719257007276661, 6.5881111715190494e-08, 0.016266383083671378, 5.7054977271819829e-07, nan, nan, 0.0018518518518518517, 6.5157750342935503e-05, 3, 3, 1, 0.40000000000000002, 0.44000000000000006, 0.2430399705976541, 1.5660608035420631, 0.4240424645994712, nan, nan, 1.8, 0.7599999999999999, 77
32, -0.84999999999999998, 3.8274999999999997, 3, 0.1, 0.01, 0.028941676175788113, 10, 9.8, 10, 23.800000000000001, 4.2599999999999998, 0, 9.0470000000000024, 0.8761509999999999, 904.70000000000005, 8761.5099999999984, 0.00053939293862828499, 1.1691804852309609e-06, 2.9185071268208009e-05, 3.422886991952449e-09, 0.00025738499986620371, 2.6621805783330879e-07, 0.05444595744090798, 2.2623658207323757e-07, 0.018019162264211637, 2.3093430626940983e-08, 0.0058880665727930742, 3.3945307518607483e-09, nan, nan, 0.0, 0.0, 2, 2, 2, 10.65, 5.9275000000000002, 0.1176793827882518, 3.6817879552433332, 0.98715393152775166, nan, nan, 1.8500000000000001, 1.9275000000000002, 69
33, -0.14999999999999999, 4.0274999999999999, 5, 0.1, 0.01, 0.0668323053043432, 10, 9.8, 10, 28.25, 20.287500000000001, 0, 8.3694999999999986, 0.80081475000000013, 836.95000000000005, 8008.1474999999991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.054826875670637001, 6.9647569295385973e-07, 0.020415405116268031, 4.9737971959796451e-08, 0.0066872976946281849, 2.9223654265240535e-08, nan, nan, 0.0029910714285714284, 8.0697943239795911e-05, 4, 3, 3, 1.2, 1.1600000000000001, 0.32414063913884006, 2.5741094980909174, 0.30532695510512148, nan, nan, 1.3500000000000001, 2.1275000000000004, 69
34, -1.05, 1.3475000000000001, 6, 0.1, 0.01, 0.03081330460078588, 10, 9.8, 10, 24.850000000000001, 2.0275000000000003, 0, 14.146000000000001, 0.588974, 1414.5999999999999, 5889.7399999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.060665397016728552, 5.5373967328577642e-08, 0.018213966460924786, 4.0495368785820395e-08, 0.0060401340647848649, 7.1562219466720395e-10, nan, nan, 0.0, 0.0, 1, 3, 3, 0.29999999999999999, 0.30999999999999994, 0.164992313585047, 2.0679788005874964, 0.45516718080824548, nan, nan, 1.75, 0.78749999999999998, 114
